Sample	PCOA1	PCOA2	LocType	Month	Compartment	Microsite	Location	CoMoss	Vege1	Vege2	Vege3	Vege4	SoilMoisture	SoilpH	SiteHumidity	AmbientTemp	SoilTemp	OrgLayer	LeafLitter	LeafLitterSpec	Canopy	Host
S-15-POLPIL-B	-0.1359761657494326	-1.9537810714881643	Natural	September	Brown	N	Eastmain 1	polstr	alninc	NA	NA	NA	7.57	5.23	61	20.6	11.9	0	Low	alninc	37.45	P_piliferum
S-15-POLPIL-G	0.5670188776531241	-1.8710831361260774	Natural	September	Green	N	Eastmain 1	polstr	alninc	NA	NA	NA	7.57	5.23	61	20.6	11.9	0	Low	alninc	37.45	P_piliferum
S-16-POLJUN-B	-0.5870602929078415	1.1699669471822696	Natural	September	Brown	AC	Nemaska community intersection	NA	pinban	vacbor	kalang	NA	54.88	4.89	64	26.7	14.7	0	Low	pinban	47.88	P_juniperinum
S-16-POLJUN-G	1.096563191566776	-0.2345416037606645	Natural	September	Green	AC	Nemaska community intersection	NA	pinban	vacbor	kalang	NA	54.88	4.89	64	26.7	14.7	0	Low	pinban	47.88	P_juniperinum
S-16-POLPIL-B	-0.6565609827683928	-0.9209682706523195	Natural	September	Brown	O	Eastmain 1	NA	alninc	NA	NA	NA	7.76	5.41	64	20.5	13.9	0	Medium	alninc	45.41	P_piliferum
S-16-POLPIL-G	0.9683968264878001	-1.7772473333503171	Natural	September	Green	O	Eastmain 1	NA	alninc	NA	NA	NA	7.76	5.41	64	20.5	13.9	0	Medium	alninc	45.41	P_piliferum
S-17-POLJUN-B	-1.25560655339557	1.3586560047185832	Natural	September	Brown	AC	Nemaska community intersection	NA	pinban	vacbor	kalang	NA	54.88	4.89	64	26.7	14.7	0	Low	pinban	47.88	P_juniperinum
S-17-POLJUN-G	0.8996929886358472	0.30039723993426143	Natural	September	Green	AC	Nemaska community intersection	NA	pinban	vacbor	kalang	NA	54.88	4.89	64	26.7	14.7	0	Low	pinban	47.88	P_juniperinum
S-17-POLPIL-B	0.06906652768421981	-0.8182198016644461	Natural	September	Brown	O	Eastmain 1	NA	alninc	NA	NA	NA	7.76	5.41	64	20.5	13.9	0	Medium	alninc	45.41	P_piliferum
S-17-POLPIL-G	1.237976910063794	-1.5699192010638288	Natural	September	Green	O	Eastmain 1	NA	alninc	NA	NA	NA	7.76	5.41	64	20.5	13.9	0	Medium	alninc	45.41	P_piliferum
S-18-POLJUN-B	-1.125225730910812	0.05893209417457168	Natural	September	Brown	AC	Nemaska community intersection	NA	pinban	vacbor	kalang	NA	54.88	4.89	64	26.7	14.7	0	Low	pinban	47.88	P_juniperinum
S-18-POLJUN-G	0.6490437152519289	-1.1312097526903977	Natural	September	Green	AC	Nemaska community intersection	NA	pinban	vacbor	kalang	NA	54.88	4.89	64	26.7	14.7	0	Low	pinban	47.88	P_juniperinum
S-18-POLPIL-B	0.46390644350145976	-0.9388076121613104	Natural	September	Brown	O	Eastmain 1	NA	alninc	NA	NA	NA	7.76	5.41	64	20.5	13.9	0	Medium	alninc	45.41	P_piliferum
S-18-POLPIL-G	1.3128410157696648	-1.5810247294676048	Natural	September	Green	O	Eastmain 1	NA	alninc	NA	NA	NA	7.76	5.41	64	20.5	13.9	0	Medium	alninc	45.41	P_piliferum
S-19-POLJUN-B	1.0129309186466604	1.9148828074785913	Natural	September	Brown	AD	Pine Forest	polpil	kal	pinban	NA	NA	18.44	4.38	64	25.4	17.4	0	High	pinban	71.18	P_juniperinum
S-19-POLPIL-B	0.8532393268560164	1.736838211915734	Natural	September	Brown	X	Pine Forest	poljun	kalang	pinban	NA	NA	12.35	4.95	63	25	22.6	0	Low	pinban	71.57	P_piliferum
S-19-POLPIL-G	1.495237200336797	0.5469211683657491	Natural	September	Green	X	Pine Forest	poljun	kalang	pinban	NA	NA	12.35	4.95	63	25	22.6	0	Low	pinban	71.57	P_piliferum
S-2-POLCOM-B	-1.3741991408046839	-2.0059183617018177	Natural	September	Brown	R	Eastmain 2	NA	vacbor	pinban	rhogro	salixsp	6.57	5.22	56	22.4	12.5	2	High	vacbor	37.66	P_commune
S-2-POLCOM-G	-0.7065532000363587	-2.4234710392120604	Natural	September	Green	R	Eastmain 2	NA	vacbor	pinban	rhogro	salixsp	6.57	5.22	56	22.4	12.5	2	High	vacbor	37.66	P_commune
