"bague","sexe","age","masse","parasites"
"E10297",4,1,3.2,0
"E10297",4,1,2.9,0
"E10300",4,1,3.4,17
"E11204",4,1,2.6,6
"E11205",4,1,3.4,10
"E11206",4,1,3.4,8
"E11219",4,2,2.9,0
"E11220",4,1,3,0
"E11221",4,2,2.9,0
"E11222",4,2,2.9,0
"E11223",4,1,3,0
"E11224",4,1,3.3,5
"E11225",4,2,3.1,0
"E11226",4,1,3.2,0
"E11227",4,2,2.8,14
"E11233",4,2,2.8,0
"E11234",4,2,3.1,2
"E11235",4,2,2.9,0
"E11235",4,1,2.7,0
"E11236",4,2,2.9,4
"E11246",4,1,3.3,0
"E11247",4,2,3.2,12
"E11247",4,1,2.9,6
"E11248",4,2,3,16
"E11249",4,2,3.4,8
"E11260",4,2,3,4
"E11261",4,2,3.3,0
"E11268",4,2,3.2,0
"E11279",4,1,3,2
"E11280",4,1,2.8,12
"E11281",4,1,2.9,7
"E11281",4,1,2.7,16
"E11282",4,1,2.8,2
"E11283",4,1,2.9,18
"E11284",4,1,2.7,8
"E11285",4,1,2.7,3
"E11286",4,1,2.7,0
"E11291",4,1,3,5
"E11294",4,1,3,12
"E11295",4,1,2.5,40
"E11296",4,1,2.7,4
"E11297",4,1,2.8,12
"E11298",4,1,2.9,11
"E11298",4,1,2.7,0
"E11299",4,1,2.7,18
"E11300",4,1,2.5,2
"E11300",4,1,2.6,16
"E27540",4,2,3,17
"E27567",4,2,2.9,5
"E27567",4,1,2.6,0
"E27568",4,2,3.1,7
"E27569",4,2,3.1,1
"E27570",4,2,3.2,0
"E27570",4,1,2.6,11
"E27573",4,2,3,0
"E27574",4,2,2.8,1
"E27575",4,2,3.4,13
"E27576",4,1,2.9,5
"E27577",4,2,2.8,23
"E27579",4,2,2.9,NA
"E27580",4,2,3.1,0
"E27581",4,2,3,10
"E27582",4,2,2.9,19
"E27583",4,2,3,0
"E27584",4,2,3.2,7
"E27586",4,2,2.8,3
"E27588",4,2,3.2,9
"E27588",4,1,3,0
"E27589",4,2,3,6
"E27590",4,2,2.9,3
"E27591",4,1,2.6,12
"E27591",4,1,2.8,0
"E27594",4,1,3,15
"E27596",4,2,2.7,4
"E27597",4,2,2.9,7
"E27598",4,2,3,2
"E27599",4,2,3.2,8
"E27599",4,1,2.9,0
"E27600",4,2,3.1,0
"E27602",5,1,3.5,8
"E27603",5,1,3.2,0
"E27604",5,1,3.2,0
"E27605",5,1,3.3,0
"E27605",5,1,3.8,0
"E27630",5,1,4,3
"E27631",5,1,3,0
"E27632",5,1,4.7,0
"E27632",5,1,3.5,5
"E27633",5,1,3.2,0
"E27633",5,1,3.4,2
"E27633",5,1,3.3,21
"E27634",5,1,4.1,3
"E27635",5,1,3.7,0
"E27637",5,1,3.8,6
"E27637",5,1,3.5,3
"E27638",5,1,3.7,0
"E27638",5,1,3.5,9
"E27639",5,1,4.5,7
"E27639",5,1,3.4,13
"E27640",5,1,4.1,9
"E27644",5,1,3.2,5
"E27649",5,1,3.8,5
"E27650",5,1,3.6,2
"E27651",5,1,3.4,12
"E27652",5,1,3.9,1
"E27652",5,1,3.2,0
"E27653",5,1,3.8,0
"E27654",5,1,3.2,2
"E27661",5,1,4,2
"E27662",5,1,3.2,2
"E27666",5,1,3.4,1
"E27667",5,1,3.7,1
"E27671",5,1,4.2,NA
"E27672",5,1,3.5,0
"E27673",5,2,3.2,0
"E27674",5,1,3.4,0
"E27675",5,2,3.1,2
"E27683",5,2,3.2,3
"E27683",5,1,3.4,12
"E27683",5,1,4,0
"E27688",5,2,3.2,12
"E27688",5,1,3.3,3
"E27691",5,2,3.4,1
"E27691",5,1,3.6,1
"E27692",5,2,3.5,8
"E27695",5,1,3.5,2
"E27696",5,1,3.6,3
"E27800",5,1,3.5,0
"E32101",4,1,2.7,0
"E32102",4,1,4,0
"E32111",4,1,3,4
"E32112",4,1,2.8,14
"E32113",4,1,2.9,0
"E32114",4,1,2.9,0
"E32115",4,1,2.9,8
"E32116",4,1,3,16
"E32117",4,1,3,19
"E32118",4,1,2.9,4
"E32119",4,1,3.1,0
"E32120",4,1,3.2,0
"E32123",4,1,3,18
"E32124",4,1,2.6,0
"E32125",4,1,2.7,0
"E32126",4,1,3.1,22
"E32127",4,1,3,14
"E32128",4,1,3.6,8
"E32131",4,1,2.8,4
"E32132",4,1,3.6,10
"E32133",4,1,3.5,0
"E32134",4,1,2.7,NA
"E32135",4,1,2.8,7
"E32136",4,1,3.1,7
"E32137",4,1,3.5,15
"E32152",4,2,3.6,25
"E32153",4,2,3.1,11
"E32160",4,2,2.9,0
"E32161",4,2,3.1,0
"E32162",4,2,2.8,5
"E32163",4,2,2.9,1
