"","block","plot","species","functional_div","species_richness","genus","group","PLOTID","X","Y","MONO","rel.abund.gym","UniqueID","biomass","volume","Wd","Seed.mass","LMA","Nmass","Amass","Llo"
"s453","C","2N4","QURU",4,2,"Quercus","Angio","C2N4",11,18,"notmono",0,"C2N4QURU",208981.457732196,373181.174521778,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"s432","C","2N5","PIGL",5,2,"Picea","Gymno","C2N5",12,11,"notmono",1,"C2N5PIGL",89748.3232492001,271964.615906667,0.33,2.4,302.86,1.28,35.58,50
"X611","C","2N5","PIST",5,2,"Pinus","Gymno","C2N5",12,11,"notmono",1,"C2N5PIST",285193.51217924,838804.447586,0.34,17,121.9153937,1.423333333,43.79823667,20
"s378","C","2N6","ABBA",6,2,"Abies","Gymno","C2N6",11,17,"notmono",0.5,"C2N6ABBA",23698.8589922333,71814.7242188889,0.33,7.6,143,1.45,50,84
"s441","C","2N6","ACRU",6,2,"Acer","Angio","C2N6",11,17,"notmono",0.5,"C2N6ACRU",681806.859833772,1391442.57108933,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"s381","C","2N7","ACSA",7,2,"Acer","Angio","C2N7",8,14,"notmono",0.5,"C2N7ACSA",355271.085121769,634412.652003158,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"s434","C","2N7","LALA",7,2,"Larix","Gymno","C2N7",8,14,"notmono",0.5,"C2N7LALA",629740.308743709,1285184.30355859,0.49,2,120.0000005,1.355,59.41951,6
"X592","C","2N8","ACSA",8,2,"Acer","Angio","C2N8",10,16,"notmono",0.5,"C2N8ACSA",747916.275057778,1335564.77688889,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"s373","C","2N8","THOC",8,2,"Thuya","Gymno","C2N8",10,16,"notmono",0.5,"C2N8THOC",56933.9684816667,189779.894938889,0.3,1.5,223.0000016,1.02,32.22441,33
"s438","C","2NR2A","ACRU",2,2,"Acer","Angio","C2NR2A",9,10,"notmono",0,"C2NR2AACRU",367299.9704458,749591.77642,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"s400","C","2NR2A","BEAL",2,2,"Betula","Angio","C2NR2A",9,10,"notmono",0,"C2NR2ABEAL",315051.433967356,572820.789031556,0.55,1,46.08294931,2.2,206,5.5
"X577","C","2NR2B","PIRE",2,2,"Pinus","Gymno","C2NR2B",10,12,"notmono",1,"C2NR2BPIRE",199390.984373711,486319.474082222,0.41,9,294.12,1.17,24,36
"X587","C","2NR2B","PIST",2,2,"Pinus","Gymno","C2NR2B",10,12,"notmono",1,"C2NR2BPIST",181930.291676969,535089.093167556,0.34,17,121.9153937,1.423333333,43.79823667,20
"s440","C","2NR4","LALA",4,2,"Larix","Gymno","C2NR4",10,17,"notmono",1,"C2NR4LALA",757896.734669728,1546728.02993822,0.49,2,120.0000005,1.355,59.41951,6
"X600","C","2NR4","PIGL",4,2,"Picea","Gymno","C2NR4",10,17,"notmono",1,"C2NR4PIGL",48843.3545797999,148010.165393333,0.33,2.4,302.86,1.28,35.58,50
"s362","C","2NR5","PIST",5,2,"Pinus","Gymno","C2NR5",11,10,"notmono",0.5,"C2NR5PIST",23343.22050804,68656.530906,0.34,17,121.9153937,1.423333333,43.79823667,20
"s425","C","2NR7A","ABBA",7,2,"Abies","Gymno","C2NR7A",11,15,"notmono",0.5,"C2NR7AABBA",35591.6645431601,107853.528918667,0.33,7.6,143,1.45,50,84
"s420","C","2NR7A","ACSA",7,2,"Acer","Angio","C2NR7A",11,15,"notmono",0.5,"C2NR7AACSA",550156.169650702,982421.731519111,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"X606","C","2NR7B","ACRU",7,2,"Acer","Angio","C2NR7B",9,17,"notmono",0.5,"C2NR7BACRU",401787.912408867,819975.331446667,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"s384","C","2NR7B","THOC",7,2,"Thuya","Gymno","C2NR7B",9,17,"notmono",0.5,"C2NR7BTHOC",77401.9761489999,258006.587163333,0.3,1.5,223.0000016,1.02,32.22441,33
"s399","C","4N1","ABBA",1,4,"Abies","Gymno","C4N1",8,18,"notmono",1,"C4N1ABBA",71049.9242144267,215302.800649778,0.33,7.6,143,1.45,50,84
"s417","C","4N1","PIGL",1,4,"Picea","Gymno","C4N1",8,18,"notmono",1,"C4N1PIGL",83478.6342784535,252965.558419556,0.33,2.4,302.86,1.28,35.58,50
"s386","C","4N1","PIRE",1,4,"Pinus","Gymno","C4N1",8,18,"notmono",1,"C4N1PIRE",321432.6823528,783982.15208,0.41,9,294.12,1.17,24,36
"s413","C","4N1","PIRU",1,4,"Picea","Gymno","C4N1",8,18,"notmono",1,"C4N1PIRU",63233.6490046668,170901.754066667,0.37,3.3,263,1.2,32,55
"X579","C","4N2","ACRU",2,4,"Acer","Angio","C4N2",7,14,"notmono",0,"C4N2ACRU",160861.253906111,328288.273277778,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"s404","C","4N2","BEAL",2,4,"Betula","Angio","C4N2",7,14,"notmono",0,"C4N2BEAL",159138.765031889,289343.209148889,0.55,1,46.08294931,2.2,206,5.5
"s418","C","4N2","BEPA",2,4,"Betula","Angio","C4N2",7,14,"notmono",0,"C4N2BEPA",1068786.51376533,2226638.57034444,0.48,0.3,85.50806324,2.208401667,195,5.5
"s414","C","4N2","QURU",2,4,"Quercus","Angio","C4N2",7,14,"notmono",0,"C4N2QURU",447575.594996444,799242.133922222,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"s436","C","4N3","BEAL",3,4,"Betula","Angio","C4N3",8,10,"notmono",0.75,"C4N3BEAL",1273170.86483644,2314856.11788444,0.55,1,46.08294931,2.2,206,5.5
"X459","C","4N3","PIRE",3,4,"Pinus","Gymno","C4N3",8,10,"notmono",0.75,"C4N3PIRE",110950.680314911,270611.415402222,0.41,9,294.12,1.17,24,36
"s435","C","4N3","PIRU",3,4,"Picea","Gymno","C4N3",8,10,"notmono",0.75,"C4N3PIRU",25921.5418620889,70058.2212488889,0.37,3.3,263,1.2,32,55
"X615","C","4N3","PIST",3,4,"Pinus","Gymno","C4N3",8,10,"notmono",0.75,"C4N3PIST",111065.163920613,326662.246825333,0.34,17,121.9153937,1.423333333,43.79823667,20
"s365","C","4N4","ABBA",4,4,"Abies","Gymno","C4N4",7,11,"notmono",0.75,"C4N4ABBA",48169.7541346266,145968.951923111,0.33,7.6,143,1.45,50,84
"X575","C","4N4","BEPA",4,4,"Betula","Angio","C4N4",7,11,"notmono",0.75,"C4N4BEPA",1868916.03274965,3893575.06822844,0.48,0.3,85.50806324,2.208401667,195,5.5
"s408","C","4N4","LALA",4,4,"Larix","Gymno","C4N4",7,11,"notmono",0.75,"C4N4LALA",265053.243477556,540924.986688889,0.49,2,120.0000005,1.355,59.41951,6
"s406","C","4N4","PIGL",4,4,"Picea","Gymno","C4N4",7,11,"notmono",0.75,"C4N4PIGL",45978.4633658533,139328.676866222,0.33,2.4,302.86,1.28,35.58,50
"s445","C","4N5","ABBA",5,4,"Abies","Gymno","C4N5",11,14,"notmono",0.75,"C4N5ABBA",110812.3051376,335794.864053333,0.33,7.6,143,1.45,50,84
"s407","C","4N5","ACSA",5,4,"Acer","Angio","C4N5",11,14,"notmono",0.75,"C4N5ACSA",742204.803665422,1325365.72083111,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"s422","C","4N5","PIGL",5,4,"Picea","Gymno","C4N5",11,14,"notmono",0.75,"C4N5PIGL",90203.3759989999,273343.563633333,0.33,2.4,302.86,1.28,35.58,50
"X458","C","4N5","PIRU",5,4,"Picea","Gymno","C4N5",11,14,"notmono",0.75,"C4N5PIRU",59289.0995709111,160240.809651111,0.37,3.3,263,1.2,32,55
"s427","C","4N6","LALA",6,4,"Larix","Gymno","C4N6",7,13,"notmono",0.75,"C4N6LALA",550863.056485312,1124210.31935778,0.49,2,120.0000005,1.355,59.41951,6
"s402","C","4N6","PIST",6,4,"Pinus","Gymno","C4N6",7,13,"notmono",0.75,"C4N6PIST",57591.3865827645,169386.431125778,0.34,17,121.9153937,1.423333333,43.79823667,20
"s444","C","4N6","QURU",6,4,"Quercus","Angio","C4N6",7,13,"notmono",0.75,"C4N6QURU",1039517.87778646,1856281.92461867,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"X578","C","4N6","THOC",6,4,"Thuya","Gymno","C4N6",7,13,"notmono",0.75,"C4N6THOC",43084.8048590667,143616.016196889,0.3,1.5,223.0000016,1.02,32.22441,33
